graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_10,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_in_5,degree_distribution_original_in_6,degree_distribution_original_in_7,degree_distribution_original_in_8,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_original_out_7,degree_distribution_original_out_8,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_10,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_in_6,degree_distribution_sparsified_in_7,degree_distribution_sparsified_in_8,degree_distribution_sparsified_in_9,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_sparsified_out_6,degree_distribution_sparsified_out_7,degree_distribution_sparsified_out_8,sparsify_time,metric_time
planar11.edgelist,planar,mst,0.2,98,280,97,0.3464285714285714,True,True,inf,101.44300000000004,0.0,inf,inf,inf,1964762.6498078953,326787.49480036396,0.02040816326530612,0.1326530612244898,,0.2857142857142857,0.2857142857142857,0.17346938775510204,0.030612244897959183,0.05102040816326531,0.02040816326530612,,0.14285714285714285,0.14285714285714285,0.19387755102040816,0.14285714285714285,0.15306122448979592,0.11224489795918367,0.07142857142857142,0.030612244897959183,0.01020408163265306,0.37755102040816324,0.37755102040816324,0.17346938775510204,0.04081632653061224,0.02040816326530612,0.01020408163265306,,,,,,,,,,,,,,,,,,,,,,0.0009875119999946946,0.015108952000019826
planar11.edgelist,planar,t_spanner,0.2,98,280,242,0.8642857142857143,True,True,inf,inf,1.0,inf,inf,inf,1964762.6498078953,521053.96346984885,0.02040816326530612,0.1326530612244898,,0.2857142857142857,0.2857142857142857,0.17346938775510204,0.030612244897959183,0.05102040816326531,0.02040816326530612,,0.14285714285714285,0.14285714285714285,0.19387755102040816,0.14285714285714285,0.15306122448979592,0.11224489795918367,0.07142857142857142,0.030612244897959183,0.01020408163265306,,,,,,,,,0.14285714285714285,,0.45918367346938777,0.23469387755102042,0.12244897959183673,0.030612244897959183,0.01020408163265306,,,,,0.14285714285714285,0.45918367346938777,0.23469387755102042,0.12244897959183673,0.030612244897959183,0.01020408163265306,,,0.0059641100000078495,0.02415967299998556
planar12.edgelist,planar,original,0.2,69,196,,1.0,True,True,inf,inf,1.0,inf,inf,inf,1265211.2377923282,1265211.2377923282,0.07246376811594203,0.10144927536231885,,0.2898550724637681,0.2608695652173913,0.08695652173913043,0.14492753623188406,,0.043478260869565216,,0.11594202898550725,0.07246376811594203,0.2463768115942029,0.2318840579710145,0.15942028985507245,0.11594202898550725,0.043478260869565216,0.014492753623188406,,,,,,,,,0.07246376811594203,0.10144927536231885,,0.2898550724637681,0.2608695652173913,0.08695652173913043,0.14492753623188406,,0.043478260869565216,,,0.11594202898550725,0.07246376811594203,0.2463768115942029,0.2318840579710145,0.15942028985507245,0.11594202898550725,0.043478260869565216,0.014492753623188406,,,0.005093053999985386
planar12.edgelist,planar,kols,0.2,69,196,68,0.3469387755102041,True,False,inf,inf,1.0,inf,inf,inf,1265211.2377923282,349801.594985162,0.07246376811594203,0.10144927536231885,,0.2898550724637681,0.2608695652173913,0.08695652173913043,0.14492753623188406,,0.043478260869565216,,0.11594202898550725,0.07246376811594203,0.2463768115942029,0.2318840579710145,0.15942028985507245,0.11594202898550725,0.043478260869565216,0.014492753623188406,,,,,,,,,0.5507246376811594,0.17391304347826086,,0.13043478260869565,0.08695652173913043,0.028985507246376812,0.014492753623188406,,0.014492753623188406,,,0.6231884057971014,0.08695652173913043,0.11594202898550725,0.057971014492753624,0.08695652173913043,0.028985507246376812,,,,0.00047903399999427165,0.003797405999989678
planar12.edgelist,planar,random,0.2,69,196,157,0.8010204081632653,True,True,inf,inf,1.0,inf,inf,inf,1265211.2377923282,1008578.05649669,0.07246376811594203,0.10144927536231885,,0.2898550724637681,0.2608695652173913,0.08695652173913043,0.14492753623188406,,0.043478260869565216,,0.11594202898550725,0.07246376811594203,0.2463768115942029,0.2318840579710145,0.15942028985507245,0.11594202898550725,0.043478260869565216,0.014492753623188406,,,,,,,,,0.10144927536231885,0.21739130434782608,,0.2608695652173913,0.21739130434782608,0.14492753623188406,0.043478260869565216,0.014492753623188406,,,,0.13043478260869565,0.2028985507246377,0.2028985507246377,0.2463768115942029,0.17391304347826086,0.028985507246376812,0.014492753623188406,,,0.0002622789999975339,0.0045426770000176475
planar12.edgelist,planar,k_neighbor,0.2,69,196,60,0.30612244897959184,True,False,inf,inf,0.86615515771526,inf,inf,inf,1265211.2377923282,460670.1614108089,0.07246376811594203,0.10144927536231885,,0.2898550724637681,0.2608695652173913,0.08695652173913043,0.14492753623188406,,0.043478260869565216,,0.11594202898550725,0.07246376811594203,0.2463768115942029,0.2318840579710145,0.15942028985507245,0.11594202898550725,0.043478260869565216,0.014492753623188406,,0.463768115942029,0.37681159420289856,0.13043478260869565,0.014492753623188406,0.014492753623188406,,,,,,,,,,,,,,,,,,,,,,,0.0033059560000197052,0.003939245999987406
planar12.edgelist,planar,local_degree,0.2,69,196,61,0.3112244897959184,True,False,inf,inf,1.0,inf,inf,inf,1265211.2377923282,454875.3595433171,0.07246376811594203,0.10144927536231885,,0.2898550724637681,0.2608695652173913,0.08695652173913043,0.14492753623188406,,0.043478260869565216,,0.11594202898550725,0.07246376811594203,0.2463768115942029,0.2318840579710145,0.15942028985507245,0.11594202898550725,0.043478260869565216,0.014492753623188406,,,,,,,,,0.6086956521739131,0.18840579710144928,,0.07246376811594203,0.043478260869565216,0.043478260869565216,0.014492753623188406,0.028985507246376812,,,,0.11594202898550725,0.8840579710144928,,,,,,,,0.00039326300000652736,0.0038210179999964566
planar12.edgelist,planar,mst,0.2,69,196,68,0.3469387755102041,True,True,inf,80.38100000000001,0.0,inf,inf,inf,1265211.2377923282,207301.70142374697,0.07246376811594203,0.10144927536231885,,0.2898550724637681,0.2608695652173913,0.08695652173913043,0.14492753623188406,,0.043478260869565216,,0.11594202898550725,0.07246376811594203,0.2463768115942029,0.2318840579710145,0.15942028985507245,0.11594202898550725,0.043478260869565216,0.014492753623188406,,0.34782608695652173,0.42028985507246375,0.15942028985507245,0.057971014492753624,0.014492753623188406,,,,,,,,,,,,,,,,,,,,,,,0.0007057980000126918,0.00743520099999273
planar12.edgelist,planar,t_spanner,0.2,69,196,170,0.8673469387755102,True,True,inf,inf,1.0,inf,inf,inf,1265211.2377923282,317274.310432259,0.07246376811594203,0.10144927536231885,,0.2898550724637681,0.2608695652173913,0.08695652173913043,0.14492753623188406,,0.043478260869565216,,0.11594202898550725,0.07246376811594203,0.2463768115942029,0.2318840579710145,0.15942028985507245,0.11594202898550725,0.043478260869565216,0.014492753623188406,,,,,,,,,,0.15942028985507245,,0.4057971014492754,0.2753623188405797,0.13043478260869565,0.028985507246376812,,,,,,0.15942028985507245,0.4057971014492754,0.2753623188405797,0.13043478260869565,0.028985507246376812,,,,0.0038106030000051305,0.011639895000001843
planar13.edgelist,planar,original,0.2,49,132,,1.0,True,True,inf,inf,1.0,inf,inf,inf,1111577.7532336137,1111577.7532336137,0.061224489795918366,0.14285714285714285,,0.3469387755102041,0.1836734693877551,0.12244897959183673,0.08163265306122448,0.04081632653061224,,0.02040816326530612,0.14285714285714285,0.10204081632653061,0.22448979591836735,0.24489795918367346,0.12244897959183673,0.08163265306122448,0.061224489795918366,0.02040816326530612,,,,,,,,,0.061224489795918366,0.14285714285714285,,0.3469387755102041,0.1836734693877551,0.12244897959183673,0.08163265306122448,0.04081632653061224,,0.02040816326530612,,0.14285714285714285,0.10204081632653061,0.22448979591836735,0.24489795918367346,0.12244897959183673,0.08163265306122448,0.061224489795918366,0.02040816326530612,,,0.0028724370000077215
