graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_original_7,degree_distribution_original_8,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,sparsify_time,metric_time
bipartite6.edgelist,bipartite,mst,0.2,27,36,26,0.7222222222222222,True,True,85.59899999999999,96.576,0.0,1.3252143783806216,0.2134134905672024,4.697502949272513,179211.428847626,128331.41499943797,0.25925925925925924,0.2962962962962963,0.14814814814814814,0.1111111111111111,0.18518518518518517,,,,,0.4444444444444444,0.3333333333333333,0.07407407407407407,0.14814814814814814,,,,,0.0001499660002082237,0.0020405119994393317
bipartite6.edgelist,bipartite,t_spanner,0.2,27,36,29,0.8055555555555556,True,True,85.59899999999999,85.59899999999999,0.0,1.0393859362106772,0.010859476894700494,1.9551804038397882,179211.428847626,134361.31654306798,0.25925925925925924,0.2962962962962963,0.14814814814814814,0.1111111111111111,0.18518518518518517,,,,,0.37037037037037035,0.3333333333333333,0.14814814814814814,0.07407407407407407,0.07407407407407407,,,,0.0004995399995095795,0.002150822999283264
bipartite7.edgelist,bipartite,original,0.2,36,72,,1.0,True,True,60.542,60.542,0.0,1.0,0.0,1.0,358499.6353381199,358499.6353381199,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.005078502000287699
bipartite7.edgelist,bipartite,kols,0.2,36,72,35,0.4861111111111111,True,True,60.542,79.403,0.0,1.3476868494150578,0.3061622358816938,5.35505873436908,358499.6353381199,116650.89249372201,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.4722222222222222,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.027777777777777776,,,,0.0005749739993916592,0.004192596999928355
bipartite7.edgelist,bipartite,random,0.2,36,72,16,0.2222222222222222,True,False,60.542,inf,0.9476190476190476,1.121823651911754,0.06939071677256597,2.30310298306101,358499.6353381199,62904.96142338699,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.3333333333333333,0.4722222222222222,0.16666666666666666,0.027777777777777776,,,,,,9.293699986301363e-05,0.002789958999528608
bipartite7.edgelist,bipartite,k_neighbor,0.2,36,72,33,0.4583333333333333,True,False,60.542,inf,0.7142857142857143,2.9720577142581095,25.273759685854618,60.627490039840644,358499.6353381199,235013.652746418,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.4444444444444444,0.3611111111111111,0.1388888888888889,0.027777777777777776,0.027777777777777776,,,,0.0017408020003131242,0.003206741000212787
bipartite7.edgelist,bipartite,local_degree,0.2,36,72,35,0.4861111111111111,True,True,60.542,119.149,0.0,2.294127636848724,27.55648143480755,119.10683012259196,358499.6353381199,233421.18530807397,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.6388888888888888,0.1388888888888889,0.1111111111111111,0.027777777777777776,,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.00028874899999209447,0.0042792829999598325
bipartite7.edgelist,bipartite,mst,0.2,36,72,35,0.4861111111111111,True,True,60.542,79.403,0.0,1.3476868494150578,0.3061622358816938,5.35505873436908,358499.6353381199,116650.89249372201,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.4722222222222222,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.027777777777777776,,,,0.00025169900072796736,0.004177998999693955
bipartite7.edgelist,bipartite,t_spanner,0.2,36,72,45,0.625,True,True,60.542,60.542,0.0,1.0822495234286116,0.02735057391342627,1.9895365368211542,358499.6353381199,146766.50025358007,0.05555555555555555,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,,0.2777777777777778,0.2777777777777778,0.19444444444444445,0.16666666666666666,0.08333333333333333,,,,0.0013258230001156335,0.004558143000394921
bipartite8.edgelist,bipartite,original,0.2,29,42,,1.0,True,True,54.083000000000006,54.083000000000006,0.0,1.0,0.0,1.0,270791.3341421281,270791.3341421281,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.0028114790002291556
bipartite8.edgelist,bipartite,kols,0.2,29,42,28,0.6666666666666666,True,True,54.083000000000006,90.98100000000001,0.0,1.4255992973593343,0.44760685876366146,5.644308218689858,270791.3341421281,163623.105299707,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.3793103448275862,0.3448275862068966,0.2413793103448276,0.034482758620689655,,,,,0.00043487699986144435,0.002605747999950836
bipartite8.edgelist,bipartite,random,0.2,29,42,9,0.21428571428571427,True,False,54.083000000000006,inf,0.9556650246305419,1.0,0.0,1.0,270791.3341421281,91441.41988930001,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,0.5862068965517241,0.2413793103448276,0.13793103448275862,0.034482758620689655,,,,,,7.950100007292349e-05,0.001642154000364826
bipartite8.edgelist,bipartite,k_neighbor,0.2,29,42,27,0.6428571428571429,True,False,54.083000000000006,inf,0.1330049261083744,3.1050659542478103,75.04193222026846,153.16144578313254,270791.3341421281,206182.45262633706,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.4482758620689655,0.3448275862068966,0.10344827586206896,0.10344827586206896,,,,,0.0013108840003042133,0.0024182709994420293
bipartite8.edgelist,bipartite,local_degree,0.2,29,42,26,0.6190476190476191,True,False,54.083000000000006,inf,0.6354679802955665,1.352135351727841,1.5180710736313459,13.852126748501284,270791.3341421281,226004.42000052112,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.5517241379310345,0.3103448275862069,0.034482758620689655,0.06896551724137931,,,0.034482758620689655,,0.00024329299958480988,0.0019342799996593385
bipartite8.edgelist,bipartite,mst,0.2,29,42,28,0.6666666666666666,True,True,54.083000000000006,90.98100000000001,0.0,1.4255992973593343,0.44760685876366146,5.644308218689858,270791.3341421281,163623.105299707,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.3793103448275862,0.3448275862068966,0.2413793103448276,0.034482758620689655,,,,,0.00017071500042220578,0.0026380389999758336
bipartite8.edgelist,bipartite,t_spanner,0.2,29,42,35,0.8333333333333334,True,True,54.083000000000006,58.137,0.0,1.08931071811879,0.030681142710505503,1.980899705014749,270791.3341421281,220014.27667078207,0.13793103448275862,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.034482758620689655,,0.034482758620689655,,,0.2413793103448276,0.27586206896551724,0.3448275862068966,0.10344827586206896,0.034482758620689655,,,,0.0005649449994962197,0.00264398000035726
bipartite9.edgelist,bipartite,original,0.2,27,39,,1.0,True,True,69.48400000000001,69.48400000000001,0.0,1.0,0.0,1.0,168844.89513462596,168844.89513462596,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,,0.0024844370000209892
bipartite9.edgelist,bipartite,kols,0.2,27,39,26,0.6666666666666666,True,True,69.48400000000001,95.154,0.0,1.2935646028763435,0.20678645109451974,4.881705725119661,168844.89513462596,110307.13619198896,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,,0.4074074074074074,0.3333333333333333,0.18518518518518517,0.07407407407407407,,,,,0.0005119739998917794,0.00227173299936112
bipartite9.edgelist,bipartite,random,0.2,27,39,8,0.20512820512820512,True,False,69.48400000000001,inf,0.9743589743589743,1.148987934722156,0.1170069676233243,2.0910669496430643,168844.89513462596,49603.51327864098,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,0.4444444444444444,0.5185185185185185,0.037037037037037035,,,,,,,6.831000064266846e-05,0.0017575239999132464
bipartite9.edgelist,bipartite,k_neighbor,0.2,27,39,20,0.5128205128205128,True,False,69.48400000000001,inf,0.8803418803418803,1.3058689747568109,0.668622036749152,4.483341789277862,168844.89513462596,141281.94337535996,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,,,,,0.6296296296296297,0.2962962962962963,0.037037037037037035,0.037037037037037035,,,,,0.0011602879994825344,0.0014815189997534617
