graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_10,degree_distribution_original_in_11,degree_distribution_original_in_12,degree_distribution_original_in_13,degree_distribution_original_in_14,degree_distribution_original_in_15,degree_distribution_original_in_16,degree_distribution_original_in_17,degree_distribution_original_in_18,degree_distribution_original_in_19,degree_distribution_original_in_2,degree_distribution_original_in_20,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_in_5,degree_distribution_original_in_6,degree_distribution_original_in_7,degree_distribution_original_in_8,degree_distribution_original_in_9,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_10,degree_distribution_original_out_11,degree_distribution_original_out_12,degree_distribution_original_out_13,degree_distribution_original_out_14,degree_distribution_original_out_15,degree_distribution_original_out_16,degree_distribution_original_out_17,degree_distribution_original_out_18,degree_distribution_original_out_19,degree_distribution_original_out_2,degree_distribution_original_out_20,degree_distribution_original_out_22,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_original_out_7,degree_distribution_original_out_8,degree_distribution_original_out_9,degree_distribution_sparsified_1,degree_distribution_sparsified_10,degree_distribution_sparsified_11,degree_distribution_sparsified_12,degree_distribution_sparsified_13,degree_distribution_sparsified_14,degree_distribution_sparsified_15,degree_distribution_sparsified_16,degree_distribution_sparsified_17,degree_distribution_sparsified_18,degree_distribution_sparsified_19,degree_distribution_sparsified_2,degree_distribution_sparsified_20,degree_distribution_sparsified_21,degree_distribution_sparsified_23,degree_distribution_sparsified_25,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,degree_distribution_sparsified_9,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_10,degree_distribution_sparsified_in_11,degree_distribution_sparsified_in_12,degree_distribution_sparsified_in_13,degree_distribution_sparsified_in_14,degree_distribution_sparsified_in_15,degree_distribution_sparsified_in_16,degree_distribution_sparsified_in_17,degree_distribution_sparsified_in_18,degree_distribution_sparsified_in_19,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_20,degree_distribution_sparsified_in_21,degree_distribution_sparsified_in_22,degree_distribution_sparsified_in_23,degree_distribution_sparsified_in_24,degree_distribution_sparsified_in_25,degree_distribution_sparsified_in_27,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_in_6,degree_distribution_sparsified_in_7,degree_distribution_sparsified_in_8,degree_distribution_sparsified_in_9,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_10,degree_distribution_sparsified_out_11,degree_distribution_sparsified_out_12,degree_distribution_sparsified_out_13,degree_distribution_sparsified_out_14,degree_distribution_sparsified_out_15,degree_distribution_sparsified_out_16,degree_distribution_sparsified_out_17,degree_distribution_sparsified_out_18,degree_distribution_sparsified_out_19,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_20,degree_distribution_sparsified_out_21,degree_distribution_sparsified_out_22,degree_distribution_sparsified_out_23,degree_distribution_sparsified_out_24,degree_distribution_sparsified_out_25,degree_distribution_sparsified_out_27,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_sparsified_out_6,degree_distribution_sparsified_out_7,degree_distribution_sparsified_out_8,degree_distribution_sparsified_out_9,sparsify_time,metric_time
unweighted10.edgelist,unweighted,k_neighbor,0.2,69,470,67,0.1425531914893617,True,False,inf,inf,0.6939471440750213,inf,inf,inf,13845.0,2231.0,,,0.057971014492753624,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.014492753623188406,,,,,,0.028985507246376812,,0.043478260869565216,0.014492753623188406,0.2463768115942029,0.14492753623188406,0.2318840579710145,0.057971014492753624,0.10144927536231885,,0.014492753623188406,0.08695652173913043,0.043478260869565216,0.014492753623188406,0.028985507246376812,,,,,,,0.043478260869565216,,,0.057971014492753624,0.08695652173913043,0.07246376811594203,0.17391304347826086,0.2028985507246377,0.10144927536231885,0.07246376811594203,0.391304347826087,,,,,,,,,,,0.36231884057971014,,,,,0.15942028985507245,0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010522491000017453,0.047582562000002326
unweighted10.edgelist,unweighted,local_degree,0.2,69,470,69,0.14680851063829786,True,True,inf,inf,1.0,inf,inf,inf,13845.0,4123.0,,,0.057971014492753624,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.014492753623188406,,,,,,0.028985507246376812,,0.043478260869565216,0.014492753623188406,0.2463768115942029,0.14492753623188406,0.2318840579710145,0.057971014492753624,0.10144927536231885,,0.014492753623188406,0.08695652173913043,0.043478260869565216,0.014492753623188406,0.028985507246376812,,,,,,,0.043478260869565216,,,0.057971014492753624,0.08695652173913043,0.07246376811594203,0.17391304347826086,0.2028985507246377,0.10144927536231885,0.07246376811594203,,,,,,,,,,,,,,,,,,,,,,,,0.7246376811594203,0.11594202898550725,0.014492753623188406,,,,0.014492753623188406,,,,,,0.043478260869565216,,,,,,,,0.043478260869565216,,,,0.028985507246376812,0.014492753623188406,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017362789999992856,0.0463962590000051
unweighted10.edgelist,unweighted,mst,0.2,69,470,68,0.14468085106382977,True,True,inf,6.0,0.0,inf,inf,inf,13845.0,2133.0,,,0.057971014492753624,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.014492753623188406,,,,,,0.028985507246376812,,0.043478260869565216,0.014492753623188406,0.2463768115942029,0.14492753623188406,0.2318840579710145,0.057971014492753624,0.10144927536231885,,0.014492753623188406,0.08695652173913043,0.043478260869565216,0.014492753623188406,0.028985507246376812,,,,,,,0.043478260869565216,,,0.057971014492753624,0.08695652173913043,0.07246376811594203,0.17391304347826086,0.2028985507246377,0.10144927536231885,0.07246376811594203,0.782608695652174,,,0.014492753623188406,,,,0.014492753623188406,,,,0.07246376811594203,,,,,0.028985507246376812,0.014492753623188406,,0.043478260869565216,,0.028985507246376812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033707240000069305,0.05592953199999329
unweighted10.edgelist,unweighted,t_spanner,0.2,69,470,580,1.2340425531914894,True,True,inf,inf,1.0,inf,inf,inf,13845.0,8864.0,,,0.057971014492753624,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.014492753623188406,,,,,,0.028985507246376812,,0.043478260869565216,0.014492753623188406,0.2463768115942029,0.14492753623188406,0.2318840579710145,0.057971014492753624,0.10144927536231885,,0.014492753623188406,0.08695652173913043,0.043478260869565216,0.014492753623188406,0.028985507246376812,,,,,,,0.043478260869565216,,,0.057971014492753624,0.08695652173913043,0.07246376811594203,0.17391304347826086,0.2028985507246377,0.10144927536231885,0.07246376811594203,,,,,,,,,,,,,,,,,,,,,,,,,,0.057971014492753624,0.13043478260869565,0.057971014492753624,0.028985507246376812,0.014492753623188406,,0.014492753623188406,,,,,,,,,,,,0.014492753623188406,,0.10144927536231885,0.10144927536231885,0.2318840579710145,0.11594202898550725,0.13043478260869565,,,0.057971014492753624,0.13043478260869565,0.057971014492753624,0.028985507246376812,0.014492753623188406,,0.014492753623188406,,,,,,,,,,,,0.014492753623188406,,0.10144927536231885,0.10144927536231885,0.2318840579710145,0.11594202898550725,0.13043478260869565,0.08879903100000774,0.08890717500000278
unweighted100.edgelist,unweighted,original,0.2,53,271,,1.0,True,True,inf,inf,1.0,inf,inf,inf,4502.0,4502.0,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886,,,,,,,,0.09433962264150944,,0.09433962264150944,0.18867924528301888,0.1320754716981132,0.18867924528301888,0.16981132075471697,0.05660377358490566,,,,,,,,,,,,,,0.07547169811320754,,,0.1509433962264151,0.16981132075471697,0.16981132075471697,0.20754716981132076,0.11320754716981132,0.07547169811320754,0.03773584905660377,,,,,,,,,,,,,,,,,,,,,,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886,,,,,,,,0.09433962264150944,,,,,,,,0.09433962264150944,0.18867924528301888,0.1320754716981132,0.18867924528301888,0.16981132075471697,0.05660377358490566,,,,,,,,,,,,,,0.07547169811320754,,,,,,,,0.1509433962264151,0.16981132075471697,0.16981132075471697,0.20754716981132076,0.11320754716981132,0.07547169811320754,0.03773584905660377,,0.04129835300000195
unweighted100.edgelist,unweighted,kols,0.2,53,271,54,0.1992619926199262,True,True,inf,inf,1.0,inf,inf,inf,4502.0,1265.0,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886,,,,,,,,0.09433962264150944,,0.09433962264150944,0.18867924528301888,0.1320754716981132,0.18867924528301888,0.16981132075471697,0.05660377358490566,,,,,,,,,,,,,,0.07547169811320754,,,0.1509433962264151,0.16981132075471697,0.16981132075471697,0.20754716981132076,0.11320754716981132,0.07547169811320754,0.03773584905660377,,,,,,,,,,,,,,,,,,,,,,,,0.5283018867924528,0.2830188679245283,,,,,,,,,,,0.07547169811320754,,,,,,,,0.03773584905660377,,0.03773584905660377,,0.018867924528301886,0.018867924528301886,,0.20754716981132076,0.6226415094339622,,,,,,,,,,,0.1320754716981132,,,,,,,,0.018867924528301886,0.018867924528301886,,,,,,0.003376033999984429,0.024399397000024692
unweighted100.edgelist,unweighted,random,0.2,53,271,65,0.23985239852398524,True,False,inf,inf,1.0,inf,inf,inf,4502.0,1107.0,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886,,,,,,,,0.09433962264150944,,0.09433962264150944,0.18867924528301888,0.1320754716981132,0.18867924528301888,0.16981132075471697,0.05660377358490566,,,,,,,,,,,,,,0.07547169811320754,,,0.1509433962264151,0.16981132075471697,0.16981132075471697,0.20754716981132076,0.11320754716981132,0.07547169811320754,0.03773584905660377,,,,,,,,,,,,,,,,,,,,,,,,0.3018867924528302,0.33962264150943394,,,,,,,,,,,0.22641509433962265,,,,,,,,0.11320754716981132,,0.018867924528301886,,,,,0.20754716981132076,0.4339622641509434,,,,,,,,,,,0.2830188679245283,,,,,,,,0.07547169811320754,,,,,,,0.0004950100000087332,0.02671512699998857
unweighted100.edgelist,unweighted,k_neighbor,0.2,53,271,49,0.18081180811808117,True,False,inf,inf,0.5442670537010159,inf,inf,inf,4502.0,973.0,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886,,,,,,,,0.09433962264150944,,0.09433962264150944,0.18867924528301888,0.1320754716981132,0.18867924528301888,0.16981132075471697,0.05660377358490566,,,,,,,,,,,,,,0.07547169811320754,,,0.1509433962264151,0.16981132075471697,0.16981132075471697,0.20754716981132076,0.11320754716981132,0.07547169811320754,0.03773584905660377,0.4339622641509434,,,,,,,,,,,0.32075471698113206,,,,,0.20754716981132076,0.03773584905660377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11377361999998925,0.02507001099999684
unweighted100.edgelist,unweighted,local_degree,0.2,53,271,53,0.19557195571955718,True,False,inf,inf,1.0,inf,inf,inf,4502.0,1710.0,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886,,,,,,,,0.09433962264150944,,0.09433962264150944,0.18867924528301888,0.1320754716981132,0.18867924528301888,0.16981132075471697,0.05660377358490566,,,,,,,,,,,,,,0.07547169811320754,,,0.1509433962264151,0.16981132075471697,0.16981132075471697,0.20754716981132076,0.11320754716981132,0.07547169811320754,0.03773584905660377,,,,,,,,,,,,,,,,,,,,,,,,0.6792452830188679,0.1509433962264151,,,0.018867924528301886,,,,,,,,0.05660377358490566,,,,,,,,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,,,0.018867924528301886,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010806129999991754,0.023850944000002983
unweighted100.edgelist,unweighted,mst,0.2,53,271,52,0.1918819188191882,True,True,inf,9.0,0.0,inf,inf,inf,4502.0,1220.0,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886,,,,,,,,0.09433962264150944,,0.09433962264150944,0.18867924528301888,0.1320754716981132,0.18867924528301888,0.16981132075471697,0.05660377358490566,,,,,,,,,,,,,,0.07547169811320754,,,0.1509433962264151,0.16981132075471697,0.16981132075471697,0.20754716981132076,0.11320754716981132,0.07547169811320754,0.03773584905660377,0.660377358490566,0.018867924528301886,,,,,,,,,,0.16981132075471697,,,,,0.05660377358490566,0.018867924528301886,,0.018867924528301886,0.03773584905660377,0.018867924528301886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021381519999863485,0.029539192000015646
