graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_10,degree_distribution_original_11,degree_distribution_original_12,degree_distribution_original_13,degree_distribution_original_14,degree_distribution_original_15,degree_distribution_original_16,degree_distribution_original_17,degree_distribution_original_18,degree_distribution_original_19,degree_distribution_original_2,degree_distribution_original_20,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_original_7,degree_distribution_original_8,degree_distribution_original_9,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_10,degree_distribution_sparsified_11,degree_distribution_sparsified_12,degree_distribution_sparsified_13,degree_distribution_sparsified_14,degree_distribution_sparsified_15,degree_distribution_sparsified_16,degree_distribution_sparsified_17,degree_distribution_sparsified_18,degree_distribution_sparsified_19,degree_distribution_sparsified_2,degree_distribution_sparsified_20,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,degree_distribution_sparsified_9,sparsify_time,metric_time
undirected8.edgelist,undirected,kols,0.2,77,280,76,0.2714285714285714,True,True,31.068000000000005,55.07300000000001,0.0,1.5682795131472416,0.44375456740468866,7.017636918180614,6787937.84061236,647330.6288507619,,0.1038961038961039,0.07792207792207792,0.025974025974025976,,,0.012987012987012988,,,,,0.03896103896103896,,0.07792207792207792,0.05194805194805195,0.07792207792207792,0.15584415584415584,0.12987012987012986,0.1038961038961039,0.14285714285714285,,0.44155844155844154,,,,,,,,,,,0.2727272727272727,,0.16883116883116883,0.1038961038961039,0.012987012987012988,,,,,0.0017407909999747062,0.02535813099999018
undirected8.edgelist,undirected,random,0.2,77,280,68,0.24285714285714285,True,False,31.068000000000005,inf,0.39302802460697195,6.686733248132486,205.60394076339307,416.9933333333334,6787937.84061236,1795690.1364803647,,0.1038961038961039,0.07792207792207792,0.025974025974025976,,,0.012987012987012988,,,,,0.03896103896103896,,0.07792207792207792,0.05194805194805195,0.07792207792207792,0.15584415584415584,0.12987012987012986,0.1038961038961039,0.14285714285714285,0.14285714285714285,0.33766233766233766,,,,,,,,,,,0.2597402597402597,,0.12987012987012986,0.12987012987012986,,,,,,0.00022631400000250324,0.022154998000019077
undirected8.edgelist,undirected,k_neighbor,0.2,77,280,67,0.2392857142857143,True,False,31.068000000000005,inf,0.8168147641831852,7.301832815007438,1015.0140297567125,697.7267080745341,6787937.84061236,2089476.5724446848,,0.1038961038961039,0.07792207792207792,0.025974025974025976,,,0.012987012987012988,,,,,0.03896103896103896,,0.07792207792207792,0.05194805194805195,0.07792207792207792,0.15584415584415584,0.12987012987012986,0.1038961038961039,0.14285714285714285,,0.5064935064935064,,,,,,,,,,,0.2727272727272727,,0.2077922077922078,,0.012987012987012988,,,,,0.0038797409999915544,0.01954121699998268
undirected8.edgelist,undirected,local_degree,0.2,77,280,75,0.26785714285714285,True,False,31.068000000000005,inf,0.34859876965140124,4.9636201236268045,56.894574652389146,204.12115384615387,6787937.84061236,3860156.5316377603,,0.1038961038961039,0.07792207792207792,0.025974025974025976,,,0.012987012987012988,,,,,0.03896103896103896,,0.07792207792207792,0.05194805194805195,0.07792207792207792,0.15584415584415584,0.12987012987012986,0.1038961038961039,0.14285714285714285,,0.7272727272727273,0.025974025974025976,,,,,0.012987012987012988,,,,,0.11688311688311688,,0.025974025974025976,0.05194805194805195,0.012987012987012988,0.012987012987012988,,0.012987012987012988,,0.001072592999975086,0.02336064799999349
undirected8.edgelist,undirected,mst,0.2,77,280,76,0.2714285714285714,True,True,31.068000000000005,55.07300000000001,0.0,1.5682795131472416,0.44375456740468866,7.017636918180614,6787937.84061236,647330.6288507619,,0.1038961038961039,0.07792207792207792,0.025974025974025976,,,0.012987012987012988,,,,,0.03896103896103896,,0.07792207792207792,0.05194805194805195,0.07792207792207792,0.15584415584415584,0.12987012987012986,0.1038961038961039,0.14285714285714285,,0.44155844155844154,,,,,,,,,,,0.2727272727272727,,0.16883116883116883,0.1038961038961039,0.012987012987012988,,,,,0.0007188769999970646,0.026929932999991024
undirected8.edgelist,undirected,t_spanner,0.2,77,280,108,0.38571428571428573,True,True,31.068000000000005,37.027,0.0,1.0688345583360823,0.019159073166118246,1.9194645844952596,6787937.84061236,1218591.7796791678,,0.1038961038961039,0.07792207792207792,0.025974025974025976,,,0.012987012987012988,,,,,0.03896103896103896,,0.07792207792207792,0.05194805194805195,0.07792207792207792,0.15584415584415584,0.12987012987012986,0.1038961038961039,0.14285714285714285,,0.15584415584415584,,,,,,,,,,,0.2857142857142857,,0.2597402597402597,0.2077922077922078,0.07792207792207792,0.012987012987012988,,,,0.011690852000015184,0.02836756400000695
undirected80.edgelist,undirected,original,0.2,87,354,,1.0,True,True,39.44800000000001,39.44800000000001,0.0,1.0,0.0,1.0,6839462.936238836,6839462.936238836,,0.06896551724137931,0.08045977011494253,0.034482758620689655,0.05747126436781609,0.011494252873563218,,0.011494252873563218,,,,0.022988505747126436,,0.04597701149425287,0.034482758620689655,0.05747126436781609,0.14942528735632185,0.09195402298850575,0.09195402298850575,0.2413793103448276,,,0.06896551724137931,0.08045977011494253,0.034482758620689655,0.05747126436781609,0.011494252873563218,,0.011494252873563218,,,,0.022988505747126436,,0.04597701149425287,0.034482758620689655,0.05747126436781609,0.14942528735632185,0.09195402298850575,0.09195402298850575,0.2413793103448276,,0.0480148569999983
undirected80.edgelist,undirected,kols,0.2,87,354,86,0.24293785310734464,True,True,39.44800000000001,53.682,0.0,1.3698817873126368,0.2412850541804697,5.562677053824364,6839462.936238836,458823.660418636,,0.06896551724137931,0.08045977011494253,0.034482758620689655,0.05747126436781609,0.011494252873563218,,0.011494252873563218,,,,0.022988505747126436,,0.04597701149425287,0.034482758620689655,0.05747126436781609,0.14942528735632185,0.09195402298850575,0.09195402298850575,0.2413793103448276,,0.41379310344827586,,,,,,,,,,,0.3333333333333333,,0.13793103448275862,0.09195402298850575,0.022988505747126436,,,,,0.0021848830000124053,0.034794623999999885
undirected80.edgelist,undirected,random,0.2,87,354,80,0.22598870056497175,True,False,39.44800000000001,inf,0.49184709970596097,6.087642835443715,235.78173963191628,562.0686274509804,6839462.936238836,1597196.9476232838,,0.06896551724137931,0.08045977011494253,0.034482758620689655,0.05747126436781609,0.011494252873563218,,0.011494252873563218,,,,0.022988505747126436,,0.04597701149425287,0.034482758620689655,0.05747126436781609,0.14942528735632185,0.09195402298850575,0.09195402298850575,0.2413793103448276,0.14942528735632185,0.27586206896551724,,,,,,,,,,,0.27586206896551724,,0.20689655172413793,0.08045977011494253,,0.011494252873563218,,,,0.0003239579999956277,0.02919948400000294
undirected80.edgelist,undirected,k_neighbor,0.2,87,354,83,0.2344632768361582,True,False,39.44800000000001,inf,0.6976744186046512,7.988071242025614,536.6717379150671,543.7487922705315,6839462.936238836,2024353.199210438,,0.06896551724137931,0.08045977011494253,0.034482758620689655,0.05747126436781609,0.011494252873563218,,0.011494252873563218,,,,0.022988505747126436,,0.04597701149425287,0.034482758620689655,0.05747126436781609,0.14942528735632185,0.09195402298850575,0.09195402298850575,0.2413793103448276,,0.39080459770114945,,,,,,,,,,,0.3793103448275862,,0.1839080459770115,0.022988505747126436,0.022988505747126436,,,,,0.004719722999993792,0.027462409000008847
