graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,sparsify_time,metric_time
undirected10.edgelist,undirected,k_neighbor,0.2,19,19,15,0.7894736842105263,True,False,109.215,inf,0.783625730994152,1.0,0.0,1.0,117884.63716421598,111171.17890773297,0.3684210526315789,0.2631578947368421,0.3684210526315789,,,,,0.5789473684210527,0.2631578947368421,0.15789473684210525,,,,0.0006480829997599358,0.0008118340001601609
undirected10.edgelist,undirected,local_degree,0.2,19,19,16,0.8421052631578947,True,False,109.215,inf,0.6081871345029239,1.190165183177942,0.2986904377576056,3.7618993003784835,117884.63716421598,99780.06850984899,0.3684210526315789,0.2631578947368421,0.3684210526315789,,,,,0.5263157894736842,0.2631578947368421,0.21052631578947367,,,,0.00014993500008131377,0.000828817000183335
undirected10.edgelist,undirected,mst,0.2,19,19,18,0.9473684210526315,True,True,109.215,119.02000000000001,0.0,1.0655930937314273,0.00946805641694808,1.6183389039540896,117884.63716421598,104706.62048272797,0.3684210526315789,0.2631578947368421,0.3684210526315789,,,,,0.3684210526315789,0.3684210526315789,0.2631578947368421,,,,0.00014606700005970197,0.0011554180000530323
undirected10.edgelist,undirected,t_spanner,0.2,19,19,18,0.9473684210526315,True,True,109.215,119.02000000000001,0.0,1.0655930937314273,0.00946805641694808,1.6183389039540896,117884.63716421598,104706.62048272797,0.3684210526315789,0.2631578947368421,0.3684210526315789,,,,,0.3684210526315789,0.3684210526315789,0.2631578947368421,,,,0.00022041000011085998,0.0011394169996492565
undirected2.edgelist,undirected,original,0.2,10,10,,1.0,True,True,46.89,46.89,0.0,1.0,0.0,1.0,47046.91313991798,47046.91313991798,0.5,0.3,,0.1,0.1,,,0.5,0.3,,0.1,0.1,,,0.00044730100034939824
undirected2.edgelist,undirected,kols,0.2,10,10,9,0.9,True,True,46.89,46.89,0.0,1.0,0.0,1.0,47046.91313991798,35737.26294909399,0.5,0.3,,0.1,0.1,,,0.6,0.2,0.1,,0.1,,0.00017747800029610517,0.0004020349997517769
undirected2.edgelist,undirected,random,0.2,10,10,2,0.2,True,False,46.89,inf,0.9555555555555556,1.0,0.0,1.0,47046.91313991798,18253.343324275993,0.5,0.3,,0.1,0.1,,0.6,0.4,,,,,,3.1379999199998565e-05,0.0002958630002467544
undirected2.edgelist,undirected,k_neighbor,0.2,10,10,7,0.7,True,False,46.89,inf,0.7111111111111111,1.1330712039408364,0.08341131107019618,2.0310173697270475,47046.91313991798,44152.02513893198,0.5,0.3,,0.1,0.1,,,0.8,,0.2,,,,0.00045036699975753436,0.0003356480001457385
undirected2.edgelist,undirected,local_degree,0.2,10,10,9,0.9,True,True,46.89,46.89,0.0,1.0,0.0,1.0,47046.91313991798,35737.26294909399,0.5,0.3,,0.1,0.1,,,0.6,0.2,0.1,,0.1,,8.954999975685496e-05,0.0004884190002485411
undirected2.edgelist,undirected,mst,0.2,10,10,9,0.9,True,True,46.89,46.89,0.0,1.0,0.0,1.0,47046.91313991798,35737.26294909399,0.5,0.3,,0.1,0.1,,,0.6,0.2,0.1,,0.1,,7.848899986129254e-05,0.0004029159999845433
undirected2.edgelist,undirected,t_spanner,0.2,10,10,9,0.9,True,True,46.89,46.89,0.0,1.0,0.0,1.0,47046.91313991798,35737.26294909399,0.5,0.3,,0.1,0.1,,,0.6,0.2,0.1,,0.1,,0.0001369599995086901,0.0003840409999611438
undirected3.edgelist,undirected,original,0.2,6,5,,1.0,True,True,46.808,46.808,0.0,1.0,0.0,1.0,1861.2736714839996,1861.2736714839996,0.3333333333333333,0.6666666666666666,,,,,,0.3333333333333333,0.6666666666666666,,,,,,0.00027832999967358774
undirected3.edgelist,undirected,kols,0.2,6,5,5,1.0,True,True,46.808,46.808,0.0,1.0,0.0,1.0,1861.2736714839996,1861.2736714839996,0.3333333333333333,0.6666666666666666,,,,,,0.3333333333333333,0.6666666666666666,,,,,0.0001262299992959015,0.00020289500025683083
undirected3.edgelist,undirected,random,0.2,6,5,1,0.2,True,False,46.808,inf,0.9333333333333333,1.0,0.0,1.0,1861.2736714839996,668.5974637919995,0.3333333333333333,0.6666666666666666,,,,,0.6666666666666666,0.3333333333333333,,,,,,9.208600022247992e-05,0.00018809700031852117
undirected3.edgelist,undirected,k_neighbor,0.2,6,5,4,0.8,True,False,46.808,inf,0.5333333333333333,1.0,0.0,1.0,1861.2736714839996,1749.1783431089996,0.3333333333333333,0.6666666666666666,,,,,,0.6666666666666666,0.3333333333333333,,,,,0.0002719879994401708,0.00019321800027682912
undirected3.edgelist,undirected,local_degree,0.2,6,5,5,1.0,True,True,46.808,46.808,0.0,1.0,0.0,1.0,1861.2736714839996,1861.2736714839996,0.3333333333333333,0.6666666666666666,,,,,,0.3333333333333333,0.6666666666666666,,,,,7.458199979737401e-05,0.0001954019999175216
