graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_10,degree_distribution_original_11,degree_distribution_original_12,degree_distribution_original_13,degree_distribution_original_14,degree_distribution_original_15,degree_distribution_original_16,degree_distribution_original_17,degree_distribution_original_18,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_original_7,degree_distribution_original_8,degree_distribution_original_9,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_10,degree_distribution_sparsified_11,degree_distribution_sparsified_12,degree_distribution_sparsified_13,degree_distribution_sparsified_14,degree_distribution_sparsified_15,degree_distribution_sparsified_16,degree_distribution_sparsified_17,degree_distribution_sparsified_18,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,degree_distribution_sparsified_9,sparsify_time,metric_time
bipartite23.edgelist,bipartite,kols,0.2,53,154,52,0.33766233766233766,True,True,41.6,89.731,0.0,4.047082735343853,291.4642810289724,406.5652173913044,3958979.7169518224,2880126.9847424133,,0.03773584905660377,0.018867924528301886,,,0.018867924528301886,,,,,0.05660377358490566,0.1509433962264151,0.09433962264150944,0.22641509433962265,0.1320754716981132,0.09433962264150944,0.09433962264150944,0.07547169811320754,,0.6415094339622641,,,,,0.018867924528301886,,,,,0.1509433962264151,0.09433962264150944,0.03773584905660377,0.03773584905660377,,0.018867924528301886,,,0.0015819789996385225,0.03131837699993412
bipartite23.edgelist,bipartite,random,0.2,53,154,122,0.7922077922077922,True,True,41.6,47.733000000000004,0.0,1.9305038979949825,76.04386961544986,294.0608695652174,3958979.7169518224,2995996.9043545546,,0.03773584905660377,0.018867924528301886,,,0.018867924528301886,,,,,0.05660377358490566,0.1509433962264151,0.09433962264150944,0.22641509433962265,0.1320754716981132,0.09433962264150944,0.09433962264150944,0.07547169811320754,,0.03773584905660377,0.018867924528301886,,,,,,,,,0.16981132075471697,0.1509433962264151,0.16981132075471697,0.16981132075471697,0.11320754716981132,0.03773584905660377,0.07547169811320754,0.05660377358490566,0.0005560620002142969,0.04858981600000334
bipartite23.edgelist,bipartite,k_neighbor,0.2,53,154,41,0.2662337662337662,True,False,41.6,inf,0.8918722786647315,1.0220589451414925,0.0038837433006673455,1.294149577804584,3958979.7169518224,338611.9111527659,,0.03773584905660377,0.018867924528301886,,,0.018867924528301886,,,,,0.05660377358490566,0.1509433962264151,0.09433962264150944,0.22641509433962265,0.1320754716981132,0.09433962264150944,0.09433962264150944,0.07547169811320754,,0.6226415094339622,,,,,,,,,,0.22641509433962265,0.1320754716981132,0.018867924528301886,,,,,,0.0009798729997783084,0.020296876999964297
bipartite23.edgelist,bipartite,local_degree,0.2,53,154,50,0.3246753246753247,True,False,41.6,inf,0.6008708272859217,2.065559004949857,7.107025726234423,43.552742616033754,3958979.7169518224,2834150.7604267653,,0.03773584905660377,0.018867924528301886,,,0.018867924528301886,,,,,0.05660377358490566,0.1509433962264151,0.09433962264150944,0.22641509433962265,0.1320754716981132,0.09433962264150944,0.09433962264150944,0.07547169811320754,,0.7358490566037735,,0.018867924528301886,,,0.018867924528301886,,,,,0.09433962264150944,0.07547169811320754,0.03773584905660377,,0.018867924528301886,,,,0.0016731649998291687,0.024610809000023437
bipartite23.edgelist,bipartite,mst,0.2,53,154,52,0.33766233766233766,True,True,41.6,51.666000000000004,0.0,1.3209537791351087,0.19020637797692141,4.747865793130832,3958979.7169518224,395097.3096183409,,0.03773584905660377,0.018867924528301886,,,0.018867924528301886,,,,,0.05660377358490566,0.1509433962264151,0.09433962264150944,0.22641509433962265,0.1320754716981132,0.09433962264150944,0.09433962264150944,0.07547169811320754,,0.4528301886792453,,,,,,,,,,0.22641509433962265,0.22641509433962265,0.09433962264150944,,,,,,0.0009732350004014734,0.02925857200034443
bipartite23.edgelist,bipartite,t_spanner,0.2,53,154,68,0.44155844155844154,True,True,41.6,46.644999999999996,0.0,1.089053651317549,0.028766852108606644,1.9903941107819374,3958979.7169518224,530948.9845311807,,0.03773584905660377,0.018867924528301886,,,0.018867924528301886,,,,,0.05660377358490566,0.1509433962264151,0.09433962264150944,0.22641509433962265,0.1320754716981132,0.09433962264150944,0.09433962264150944,0.07547169811320754,,0.24528301886792453,,,,,,,,,,0.2830188679245283,0.24528301886792453,0.16981132075471697,0.03773584905660377,,,0.018867924528301886,,0.010211031999915576,0.031657312999868736
bipartite24.edgelist,bipartite,original,0.2,81,323,,1.0,True,True,33.631,33.631,0.0,1.0,0.0,1.0,6301265.118557269,6301265.118557269,,0.04938271604938271,0.08641975308641975,0.06172839506172839,0.012345679012345678,0.024691358024691357,,,,0.012345679012345678,,0.037037037037037035,0.04938271604938271,0.07407407407407407,0.14814814814814814,0.18518518518518517,0.13580246913580246,0.12345679012345678,,,0.04938271604938271,0.08641975308641975,0.06172839506172839,0.012345679012345678,0.024691358024691357,,,,0.012345679012345678,,0.037037037037037035,0.04938271604938271,0.07407407407407407,0.14814814814814814,0.18518518518518517,0.13580246913580246,0.12345679012345678,,0.11197040599972752
bipartite24.edgelist,bipartite,kols,0.2,81,323,80,0.2476780185758514,True,True,33.631,78.708,0.0,3.741478230484509,28.327636018421376,165.69252077562328,6301265.118557269,1637251.7708677223,,0.04938271604938271,0.08641975308641975,0.06172839506172839,0.012345679012345678,0.024691358024691357,,,,0.012345679012345678,,0.037037037037037035,0.04938271604938271,0.07407407407407407,0.14814814814814814,0.18518518518518517,0.13580246913580246,0.12345679012345678,,0.654320987654321,,0.012345679012345678,,,,,,,,0.12345679012345678,0.07407407407407407,0.04938271604938271,0.04938271604938271,0.012345679012345678,0.012345679012345678,,0.012345679012345678,0.00299077199997555,0.06861060700020971
bipartite24.edgelist,bipartite,random,0.2,81,323,253,0.7832817337461301,True,True,33.631,40.07,0.0,1.462341642299083,2.96734427202543,71.196675900277,6301265.118557269,4786261.172668978,,0.04938271604938271,0.08641975308641975,0.06172839506172839,0.012345679012345678,0.024691358024691357,,,,0.012345679012345678,,0.037037037037037035,0.04938271604938271,0.07407407407407407,0.14814814814814814,0.18518518518518517,0.13580246913580246,0.12345679012345678,,,0.024691358024691357,,0.037037037037037035,,0.012345679012345678,,,,,0.037037037037037035,0.08641975308641975,0.04938271604938271,0.2345679012345679,0.2222222222222222,0.1111111111111111,0.09876543209876543,0.08641975308641975,0.0009064330001820053,0.08738612099978127
bipartite24.edgelist,bipartite,k_neighbor,0.2,81,323,57,0.17647058823529413,True,False,33.631,inf,0.9564814814814815,1.0,0.0,1.0,6301265.118557269,248571.05466689606,,0.04938271604938271,0.08641975308641975,0.06172839506172839,0.012345679012345678,0.024691358024691357,,,,0.012345679012345678,,0.037037037037037035,0.04938271604938271,0.07407407407407407,0.14814814814814814,0.18518518518518517,0.13580246913580246,0.12345679012345678,,0.7037037037037037,,,,,,,,,,0.2345679012345679,0.024691358024691357,0.024691358024691357,0.012345679012345678,,,,,0.0016744280001148582,0.048957734999930835
bipartite24.edgelist,bipartite,local_degree,0.2,81,323,79,0.24458204334365324,True,False,33.631,inf,0.2191358024691358,3.5353129571949107,21.256661052042457,123.31531531531533,6301265.118557269,2578456.3622589516,,0.04938271604938271,0.08641975308641975,0.06172839506172839,0.012345679012345678,0.024691358024691357,,,,0.012345679012345678,,0.037037037037037035,0.04938271604938271,0.07407407407407407,0.14814814814814814,0.18518518518518517,0.13580246913580246,0.12345679012345678,,0.7777777777777778,,0.012345679012345678,0.012345679012345678,,,,,,0.012345679012345678,0.08641975308641975,0.037037037037037035,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.012345679012345678,,0.012345679012345678,0.002061744999991788,0.0643567450001683
bipartite24.edgelist,bipartite,mst,0.2,81,323,80,0.2476780185758514,True,True,33.631,67.32600000000001,0.0,1.7895001494912572,0.744496539132323,8.401854162952398,6301265.118557269,517260.152851625,,0.04938271604938271,0.08641975308641975,0.06172839506172839,0.012345679012345678,0.024691358024691357,,,,0.012345679012345678,,0.037037037037037035,0.04938271604938271,0.07407407407407407,0.14814814814814814,0.18518518518518517,0.13580246913580246,0.12345679012345678,,0.3950617283950617,,,,,,,,,,0.3950617283950617,0.1111111111111111,0.04938271604938271,0.037037037037037035,0.012345679012345678,,,,0.0015295729999706964,0.067794404000324
bipartite24.edgelist,bipartite,t_spanner,0.2,81,323,123,0.38080495356037153,True,True,33.631,38.654,0.0,1.0785756486045095,0.023583458226056984,1.9813210307190277,6301265.118557269,1094327.6971608088,,0.04938271604938271,0.08641975308641975,0.06172839506172839,0.012345679012345678,0.024691358024691357,,,,0.012345679012345678,,0.037037037037037035,0.04938271604938271,0.07407407407407407,0.14814814814814814,0.18518518518518517,0.13580246913580246,0.12345679012345678,,0.1111111111111111,,,,,,,,,,0.2716049382716049,0.3333333333333333,0.13580246913580246,0.07407407407407407,0.04938271604938271,0.024691358024691357,,,0.040343504999782454,0.08054389399967476
bipartite25.edgelist,bipartite,original,0.2,44,90,,1.0,True,True,46.52,46.52,0.0,1.0,0.0,1.0,3021170.0686909086,3021170.0686909086,0.045454545454545456,,0.045454545454545456,,,,,,,,0.3181818181818182,0.13636363636363635,0.18181818181818182,0.06818181818181818,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.022727272727272728,,0.045454545454545456,,0.045454545454545456,,,,,,,,0.3181818181818182,0.13636363636363635,0.18181818181818182,0.06818181818181818,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.022727272727272728,,0.024676882999756344
