graph_family,method,rho,n,m_og,m_sparse,edges_ratio,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_original_7,degree_distribution_original_8,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,sparsify_time,metric_time,family,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_original_in_5,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_sparsified_out_6,degree_distribution_sparsified_in_6
directed,mst,0.2,10.1,14.5,9.1,0.7593867905585173,inf,49.85185,0.0,inf,inf,inf,58082.4723036355,33598.1249020913,,,,,,,,,,0.4050636618283676,0.4645823784059078,0.1484896989098669,0.0880372350960586,,,,,0.0001080016996638,0.0004934923999826,directed,0.2099220496279319,0.5461128087598676,0.2000087913953459,0.189245395127748,0.1231325863678804,0.2731262201850437,0.3978575672693319,0.2664610625394938,0.1866225277989983,0.0773420479302832,,,,,,,,,,,,,,,,,
directed,original,0.2,10.1,14.5,,1.0,inf,inf,1.0,inf,inf,inf,58082.4723036355,58082.4723036355,,,,,,,,,,,,,,,,,,,0.0006426701000236,directed,0.2099220496279319,0.5461128087598676,0.2000087913953459,0.189245395127748,0.1231325863678804,0.2731262201850437,0.3978575672693319,0.2664610625394938,0.1866225277989983,0.0773420479302832,0.2099220496279319,0.5461128087598676,0.2000087913953459,0.189245395127748,0.1231325863678804,,0.2731262201850437,0.3978575672693319,0.2664610625394938,0.1866225277989983,0.0773420479302832,,,,,,
directed,random,0.2,10.1,14.5,3.0,0.1949919430137646,inf,inf,1.0,inf,inf,inf,58082.4723036355,8481.362562802002,,,,,,,,,,,,,,,,,,3.414610009713215e-05,0.0004188008000709,directed,0.2099220496279319,0.5461128087598676,0.2000087913953459,0.189245395127748,0.1231325863678804,0.2731262201850437,0.3978575672693319,0.2664610625394938,0.1866225277989983,0.0773420479302832,0.7675322553263729,0.2151474832357184,0.0577342047930283,,,,0.7737414056531704,0.2027291825821237,0.1176470588235294,,,,,,,,
directed,t_spanner,0.2,10.1,14.5,20.8,1.627096372599219,inf,inf,1.0,inf,inf,inf,58082.4723036355,38498.8554718506,,,,,,,,,,,,,,,,,,0.0002732047999415,0.0006392614000105,directed,0.2099220496279319,0.5461128087598676,0.2000087913953459,0.189245395127748,0.1231325863678804,0.2731262201850437,0.3978575672693319,0.2664610625394938,0.1866225277989983,0.0773420479302832,,0.3397413207707325,0.4533524318818436,0.2113214604023427,0.0684293919588037,0.0577342047930283,,0.3397413207707325,0.4533524318818436,0.2113214604023427,0.0684293919588037,0.0577342047930283,,,,,
planar,k_neighbor,0.2,11.3,24.1,9.7,0.4450281551498227,inf,inf,0.3537102113572701,inf,inf,inf,121927.976999356,60038.080882281785,,,,,,,,,,0.4271386130209659,0.4389958407605466,0.1530345471521941,0.05718954248366,,,,,0.0007021882000116,0.0004810871999324,planar,0.1346931499872676,0.1431304643069348,0.4607707325354384,0.2039480943892708,0.1201426024955436,0.2068092691622103,0.2502919955861132,0.2162285789736769,0.1862735666657234,0.1250176838412132,,,,,,,,,,,,,0.0954396910279263,0.129985327464319,0.0732323232323232,,
planar,kols,0.2,11.3,24.1,10.3,0.4572686946254728,inf,inf,1.0,inf,inf,inf,121927.976999356,16945.8351758334,,,,,,,,,,,,,,,,,,0.000257570299982,0.0004864703998463,planar,0.1346931499872676,0.1431304643069348,0.4607707325354384,0.2039480943892708,0.1201426024955436,0.2068092691622103,0.2502919955861132,0.2162285789736769,0.1862735666657234,0.1250176838412132,0.3178516254986843,0.5221984551396316,0.1621982126183806,0.1160279263220439,,,0.3496069943128767,0.4900385743522998,0.2257501485442661,0.0958605664488017,,,0.0954396910279263,0.129985327464319,0.0732323232323232,,
planar,local_degree,0.2,11.3,24.1,9.3,0.404515374302385,inf,inf,1.0,inf,inf,inf,121927.976999356,35128.9292393154,,,,,,,,,,,,,,,,,,9.68056999226788e-05,0.0004827491998184,planar,0.1346931499872676,0.1431304643069348,0.4607707325354384,0.2039480943892708,0.1201426024955436,0.2068092691622103,0.2502919955861132,0.2162285789736769,0.1862735666657234,0.1250176838412132,0.4024140565317036,0.4307393260334436,0.2056725720591266,0.0849673202614379,0.0588235294117647,,0.2068092691622103,0.7931907308377897,,,,,0.0954396910279263,0.129985327464319,0.0732323232323232,,
planar,mst,0.2,11.3,24.1,10.3,0.4572686946254728,inf,37.2948,0.0,inf,inf,inf,121927.976999356,16945.8351758334,,,,,,,,,,0.4752338511162041,0.362778107876147,0.1664827547180488,0.1071895424836601,0.0555555555555555,,,,0.0001426902001184,0.0005420841998783,planar,0.1346931499872676,0.1431304643069348,0.4607707325354384,0.2039480943892708,0.1201426024955436,0.2068092691622103,0.2502919955861132,0.2162285789736769,0.1862735666657234,0.1250176838412132,,,,,,,,,,,,,0.0954396910279263,0.129985327464319,0.0732323232323232,,
planar,original,0.2,11.3,24.1,,1.0,inf,inf,1.0,inf,inf,inf,121927.976999356,121927.976999356,,,,,,,,,,,,,,,,,,,0.0006367549000969,planar,0.1346931499872676,0.1431304643069348,0.4607707325354384,0.2039480943892708,0.1201426024955436,0.2068092691622103,0.2502919955861132,0.2162285789736769,0.1862735666657234,0.1250176838412132,0.1346931499872676,0.1431304643069348,0.4607707325354384,0.2039480943892708,0.1201426024955436,0.0954396910279263,0.2068092691622103,0.2502919955861132,0.2162285789736769,0.1862735666657234,0.1250176838412132,0.129985327464319,0.0954396910279263,0.129985327464319,0.0732323232323232,0.0732323232323232,
planar,random,0.2,11.3,24.1,5.0,0.1978348320237146,inf,inf,1.0,inf,inf,inf,121927.976999356,23330.980931409496,,,,,,,,,,,,,,,,,,3.9786999877833296e-05,0.0004705461997218,planar,0.1346931499872676,0.1431304643069348,0.4607707325354384,0.2039480943892708,0.1201426024955436,0.2068092691622103,0.2502919955861132,0.2162285789736769,0.1862735666657234,0.1250176838412132,0.6585756726933198,0.2840607758254816,0.0956059191353308,,,,0.6642840166369578,0.2840819964349376,0.1004901960784313,0.05718954248366,,,0.0954396910279263,0.129985327464319,0.0732323232323232,,
