graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_in_5,degree_distribution_original_in_6,degree_distribution_original_in_7,degree_distribution_original_in_8,degree_distribution_original_in_9,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_10,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_original_out_7,degree_distribution_original_out_8,degree_distribution_original_out_9,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_in_6,degree_distribution_sparsified_in_7,degree_distribution_sparsified_in_8,degree_distribution_sparsified_in_9,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_10,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_sparsified_out_6,degree_distribution_sparsified_out_7,degree_distribution_sparsified_out_8,degree_distribution_sparsified_out_9,sparsify_time,metric_time
planar54.edgelist,planar,t_spanner,0.2,65,180,154,0.8555555555555555,True,True,inf,inf,1.0,inf,inf,inf,1492988.9043763224,358787.614170904,0.07692307692307693,0.09230769230769231,0.3230769230769231,0.2,0.18461538461538463,0.07692307692307693,0.03076923076923077,,0.015384615384615385,,0.15384615384615385,0.09230769230769231,,0.13846153846153847,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.06153846153846154,0.015384615384615385,,,,,,,,,,,0.2,0.38461538461538464,0.2923076923076923,0.09230769230769231,0.03076923076923077,,,,,,0.2,,0.38461538461538464,0.2923076923076923,0.09230769230769231,0.03076923076923077,,,,,0.004071310000000494,0.016676613999976553
planar55.edgelist,planar,original,0.2,44,119,,1.0,True,True,inf,inf,1.0,inf,inf,inf,916238.0951058436,916238.0951058436,0.09090909090909091,0.13636363636363635,0.20454545454545456,0.29545454545454547,0.13636363636363635,0.09090909090909091,0.045454545454545456,,,,0.18181818181818182,0.11363636363636363,,0.25,0.11363636363636363,0.09090909090909091,0.1590909090909091,0.06818181818181818,,0.022727272727272728,,,,,,,,,0.09090909090909091,0.13636363636363635,0.20454545454545456,0.29545454545454547,0.13636363636363635,0.09090909090909091,0.045454545454545456,,,,0.18181818181818182,0.11363636363636363,,0.25,0.11363636363636363,0.09090909090909091,0.1590909090909091,0.06818181818181818,,0.022727272727272728,,,0.0037857060000021647
planar55.edgelist,planar,kols,0.2,44,119,43,0.36134453781512604,True,True,inf,inf,1.0,inf,inf,inf,916238.0951058436,165902.199048698,0.09090909090909091,0.13636363636363635,0.20454545454545456,0.29545454545454547,0.13636363636363635,0.09090909090909091,0.045454545454545456,,,,0.18181818181818182,0.11363636363636363,,0.25,0.11363636363636363,0.09090909090909091,0.1590909090909091,0.06818181818181818,,0.022727272727272728,,,,,,,,,0.36363636363636365,0.36363636363636365,0.20454545454545456,0.06818181818181818,,,,,,,0.36363636363636365,0.36363636363636365,,0.22727272727272727,0.022727272727272728,0.022727272727272728,,,,,,0.0009550910000086787,0.0029809920000047896
planar55.edgelist,planar,random,0.2,44,119,26,0.2184873949579832,True,False,inf,inf,1.0,inf,inf,inf,916238.0951058436,166650.45654898504,0.09090909090909091,0.13636363636363635,0.20454545454545456,0.29545454545454547,0.13636363636363635,0.09090909090909091,0.045454545454545456,,,,0.18181818181818182,0.11363636363636363,,0.25,0.11363636363636363,0.09090909090909091,0.1590909090909091,0.06818181818181818,,0.022727272727272728,,,,,,,,,0.5681818181818182,0.3181818181818182,0.06818181818181818,0.045454545454545456,,,,,,,0.5454545454545454,0.3181818181818182,,0.13636363636363635,,,,,,,,0.00037145600001053936,0.002967600999994602
planar55.edgelist,planar,k_neighbor,0.2,44,119,38,0.31932773109243695,True,False,inf,inf,0.7241014799154334,inf,inf,inf,916238.0951058436,439134.0351109222,0.09090909090909091,0.13636363636363635,0.20454545454545456,0.29545454545454547,0.13636363636363635,0.09090909090909091,0.045454545454545456,,,,0.18181818181818182,0.11363636363636363,,0.25,0.11363636363636363,0.09090909090909091,0.1590909090909091,0.06818181818181818,,0.022727272727272728,,0.5454545454545454,0.29545454545454547,0.06818181818181818,0.06818181818181818,0.022727272727272728,,,,,,,,,,,,,,,,,,,,,,,,0.0024918449999802306,0.0029939230000195494
planar55.edgelist,planar,local_degree,0.2,44,119,36,0.3025210084033613,True,False,inf,inf,1.0,inf,inf,inf,916238.0951058436,238126.268715355,0.09090909090909091,0.13636363636363635,0.20454545454545456,0.29545454545454547,0.13636363636363635,0.09090909090909091,0.045454545454545456,,,,0.18181818181818182,0.11363636363636363,,0.25,0.11363636363636363,0.09090909090909091,0.1590909090909091,0.06818181818181818,,0.022727272727272728,,,,,,,,,0.5227272727272727,0.29545454545454547,0.09090909090909091,0.045454545454545456,0.022727272727272728,0.022727272727272728,,,,,0.18181818181818182,0.8181818181818182,,,,,,,,,,0.00034353800000985757,0.0021599609999896074
planar55.edgelist,planar,mst,0.2,44,119,43,0.36134453781512604,True,True,inf,72.512,0.0,inf,inf,inf,916238.0951058436,165902.199048698,0.09090909090909091,0.13636363636363635,0.20454545454545456,0.29545454545454547,0.13636363636363635,0.09090909090909091,0.045454545454545456,,,,0.18181818181818182,0.11363636363636363,,0.25,0.11363636363636363,0.09090909090909091,0.1590909090909091,0.06818181818181818,,0.022727272727272728,,0.3409090909090909,0.5,0.06818181818181818,0.045454545454545456,0.045454545454545456,,,,,,,,,,,,,,,,,,,,,,,,0.0005045529999847531,0.0038515480000000935
planar55.edgelist,planar,t_spanner,0.2,44,119,104,0.8739495798319328,True,True,inf,inf,1.0,inf,inf,inf,916238.0951058436,262661.910693218,0.09090909090909091,0.13636363636363635,0.20454545454545456,0.29545454545454547,0.13636363636363635,0.09090909090909091,0.045454545454545456,,,,0.18181818181818182,0.11363636363636363,,0.25,0.11363636363636363,0.09090909090909091,0.1590909090909091,0.06818181818181818,,0.022727272727272728,,,,,,,,,,0.09090909090909091,0.6363636363636364,0.13636363636363635,0.09090909090909091,0.045454545454545456,,,,,,0.09090909090909091,,0.6363636363636364,0.13636363636363635,0.09090909090909091,0.045454545454545456,,,,,0.0022316299999829425,0.00565504099998293
planar56.edgelist,planar,original,0.2,93,262,,1.0,True,True,inf,inf,1.0,inf,inf,inf,2196806.431425787,2196806.431425787,0.043010752688172046,0.11827956989247312,0.3655913978494624,0.1827956989247312,0.13978494623655913,0.07526881720430108,0.043010752688172046,0.03225806451612903,,,0.12903225806451613,0.12903225806451613,,0.20430107526881722,0.17204301075268819,0.20430107526881722,0.07526881720430108,0.053763440860215055,0.010752688172043012,0.021505376344086023,,,,,,,,,0.043010752688172046,0.11827956989247312,0.3655913978494624,0.1827956989247312,0.13978494623655913,0.07526881720430108,0.043010752688172046,0.03225806451612903,,,0.12903225806451613,0.12903225806451613,,0.20430107526881722,0.17204301075268819,0.20430107526881722,0.07526881720430108,0.053763440860215055,0.010752688172043012,0.021505376344086023,,,0.00922260199999414
planar56.edgelist,planar,kols,0.2,93,262,92,0.3511450381679389,True,True,inf,inf,1.0,inf,inf,inf,2196806.431425787,399833.4315046821,0.043010752688172046,0.11827956989247312,0.3655913978494624,0.1827956989247312,0.13978494623655913,0.07526881720430108,0.043010752688172046,0.03225806451612903,,,0.12903225806451613,0.12903225806451613,,0.20430107526881722,0.17204301075268819,0.20430107526881722,0.07526881720430108,0.053763440860215055,0.010752688172043012,0.021505376344086023,,,,,,,,,0.2903225806451613,0.4838709677419355,0.1827956989247312,0.03225806451612903,0.010752688172043012,,,,,,0.3548387096774194,0.3870967741935484,,0.1935483870967742,0.043010752688172046,0.021505376344086023,,,,,,0.001626195999989477,0.006910646999983783
